JobID|JobName|State|Start|End|NCPUS|CPUTime|Elapsed|MaxRSS|
1018789|cromwell_6f5e7efe_SplitIntervals|COMPLETED|2020-03-21T18:00:56|2020-03-21T18:01:07|1|00:00:11|00:00:11||
1018789.batch|batch|COMPLETED|2020-03-21T18:00:56|2020-03-21T18:01:07|1|00:00:11|00:00:11|12572K|
1018790|cromwell_6f5e7efe_IndexBam|COMPLETED|2020-03-21T18:00:59|2020-03-21T18:01:10|1|00:00:11|00:00:11||
1018790.batch|batch|COMPLETED|2020-03-21T18:00:59|2020-03-21T18:01:10|1|00:00:11|00:00:11|14032K|
1018791|cromwell_959886f2_SplitIntervals|COMPLETED|2020-03-21T18:01:12|2020-03-21T18:01:21|1|00:00:09|00:00:09||
1018791.batch|batch|COMPLETED|2020-03-21T18:01:12|2020-03-21T18:01:21|1|00:00:09|00:00:09|988K|
1018792|cromwell_70c46e42_fastqc|COMPLETED|2020-03-21T18:01:12|2020-03-21T18:05:49|2|00:09:14|00:04:37||
1018792.batch|batch|COMPLETED|2020-03-21T18:01:12|2020-03-21T18:05:49|2|00:09:14|00:04:37|495768K|
1018793|cromwell_70c46e42_star|COMPLETED|2020-03-21T18:01:12|2020-03-21T18:28:36|4|01:49:36|00:27:24||
1018793.batch|batch|COMPLETED|2020-03-21T18:01:12|2020-03-21T18:28:36|4|01:49:36|00:27:24|17266928K|
1018794|cromwell_959886f2_IndexBam|COMPLETED|2020-03-21T18:01:14|2020-03-21T18:01:27|1|00:00:13|00:00:13||
1018794.batch|batch|COMPLETED|2020-03-21T18:01:14|2020-03-21T18:01:27|1|00:00:13|00:00:13|14468K|
1018795|cromwell_6f5e7efe_AddReadGroup|COMPLETED|2020-03-21T18:01:18|2020-03-21T18:03:23|1|00:02:05|00:02:05||
1018795.batch|batch|COMPLETED|2020-03-21T18:01:18|2020-03-21T18:03:23|1|00:02:05|00:02:05|664000K|
1018796|cromwell_a70c9b3e_featureCounts|COMPLETED|2020-03-21T18:01:24|2020-03-21T18:03:47|4|00:09:32|00:02:23||
1018796.batch|batch|COMPLETED|2020-03-21T18:01:24|2020-03-21T18:03:47|4|00:09:32|00:02:23|225416K|
1018797|cromwell_2ca89ef6_SplitIntervals|COMPLETED|2020-03-21T18:01:25|2020-03-21T18:01:33|1|00:00:08|00:00:08||
1018797.batch|batch|COMPLETED|2020-03-21T18:01:25|2020-03-21T18:01:33|1|00:00:08|00:00:08|988K|
1018798|cromwell_2ca89ef6_IndexBam|COMPLETED|2020-03-21T18:01:27|2020-03-21T18:01:44|1|00:00:17|00:00:17||
1018798.batch|batch|COMPLETED|2020-03-21T18:01:27|2020-03-21T18:01:44|1|00:00:17|00:00:17|25436K|
1018799|cromwell_65201559_star|COMPLETED|2020-03-21T18:01:27|2020-03-21T18:19:13|4|01:11:04|00:17:46||
1018799.batch|batch|COMPLETED|2020-03-21T18:01:27|2020-03-21T18:19:13|4|01:11:04|00:17:46|17266532K|
1018800|cromwell_65201559_fastqc|COMPLETED|2020-03-21T18:01:27|2020-03-21T18:06:27|2|00:10:00|00:05:00||
